Date,AORDS,BHP,CBA
14/01/2013,1.278296044,-0.491937317,1.744243363
21/01/2013,1.33008728,1.63048691,1.792983728
28/01/2013,1.693779813,2.186157737,2.270000405
4/02/2013,0.95657896,0.079062382,-0.338774545
11/02/2013,1.298309674,1.672390068,3.337167968
18/02/2013,-0.354759471,-4.559516016,-2.232694899
25/02/2013,1.266583109,-0.081388073,5.925710291
4/03/2013,0.714960429,-2.05684408,2.876439076
11/03/2013,-0.159742021,0.119847155,0.499961636
18/03/2013,-2.937867806,-6.148631538,-2.233368229
25/03/2013,-0.018069072,-2.024553182,-0.90747439
1/04/2013,-1.633782455,-1.600036582,-1.600765283
8/04/2013,2.356083705,3.385001423,1.674237635
15/04/2013,-1.871470255,-6.024992699,1.052329013
22/04/2013,3.192455405,3.689068822,2.951064062
29/04/2013,0.445612908,-1.890060511,0.310106788
6/05/2013,1.664685574,8.338156079,-0.691952076
13/05/2013,-0.604785839,-0.983257638,3.67269118
20/05/2013,-3.862551989,-0.145420682,-6.256442807
27/05/2013,-1.018398727,1.50208042,-2.816692685
3/06/2013,-3.831111532,-5.268237496,-2.790574937
10/06/2013,0.972152172,-0.545478573,3.148915962
17/06/2013,-1.088516134,-1.407611772,-1.562060478
24/06/2013,1.086420038,-3.384837358,4.614837119
1/07/2013,1.06231083,0.730522382,-0.27503164
8/07/2013,2.680075357,5.270042403,2.829580842
15/07/2013,0.038316451,1.637685588,0.68805065
22/07/2013,1.290183472,2.161912669,3.018636596
29/07/2013,1.479906288,3.269660412,0.230537694
5/08/2013,-1.181772373,0.530054238,-1.32268046
12/08/2013,1.20922468,2.55473611,0.6157847
19/08/2013,0.295637085,-3.392967605,-1.720043581
26/08/2013,0.19724844,0.308177258,3.856924606
2/09/2013,0.364196509,-1.664127949,0.438358296
9/09/2013,1.365061089,4.860950419,0.898083112
16/09/2013,1.070051887,0.523524462,-0.09486222
23/09/2013,0.595853522,-0.082494331,-0.803220892
30/09/2013,-1.834807295,-3.441374441,-1.932151079
7/10/2013,0.438918999,0,0.777335034
14/10/2013,1.747948666,1.749490979,2.525914564
21/10/2013,1.208607347,4.538781481,2.805096085
28/10/2013,0.385460432,0.320246374,-0.631270233
4/11/2013,-0.224057313,1.112889431,4.261489192
11/11/2013,0.033367802,-0.158212516,-1.669992794
18/11/2013,-1.22875531,-0.158500639,-1.685305005
25/11/2013,-0.300622149,-1.169900402,1.72385752
2/12/2013,-2.443857658,-1.726522651,-3.464634809
9/12/2013,-1.642807298,-2.479446202,-1.298806192
16/12/2013,3.088154307,3.7771395,2.304774742
23/12/2013,1.177114026,0.85582761,1.801144834
30/12/2013,0.524561902,0.584187357,0.348620032
6/01/2014,-0.66553805,-3.584822396,0.025782986
13/01/2014,0.001882814,3.902037823,-2.783210837
